"All Data collected by Salmon, McMullen, & Filliter (2009)",,,,,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2
,,,,,T1 (FMA),T1 (FMA),T1 (FMA),T2 (AFM),T2 (AFM),T2 (AFM),T3 (MAF),T3 (MAF),T3 (MAF),All T,All T,All T,T1 (AFM),T1 (AFM),T1 (AFM),T2 (MAF),T2 (MAF),T2 (MAF),T3 (FMA),T3 (FMA),T3 (FMA),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T
Item#,Name,Category,Group Membership1,Expected Group2,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev
215,PLATE,household item,HYM,HYM,18,4.67,1.03,18,4.94,0.24,19,4.84,0.69,55,4.82,0.72,18,1.67,0.49,19,1.84,0.9,20,1.85,0.67,57,1.79,0.7,19,4.79,0.42,20,4.8,0.41,18,4.89,0.32,57,4.82,0.38,19,1.95,1.13,20,2.05,1.28,18,2.22,1.31,57,2.07,1.22
216,Pliers,tools,LOM,HOM,18,2.17,1.1,18,1.5,0.86,19,1.53,0.77,55,1.73,0.95,18,3.78,1.31,19,4,1.15,20,4.4,1.19,57,4.07,1.22,18,4.89,0.32,20,4.95,0.22,18,4.89,0.32,56,4.91,0.29,18,2.94,1.26,19,3,1.41,18,2.72,0.96,55,2.89,1.21
217,Plug,household item,HOM,HOM,18,4.72,0.83,18,4.61,0.61,19,4.58,0.77,55,4.64,0.73,18,3,1.14,19,2.68,1.11,20,3,1.3,57,2.89,1.18,19,4.63,0.6,20,4.65,0.81,18,4.89,0.47,57,4.72,0.65,19,2.05,1.27,19,2.11,1.2,18,1.67,1.19,56,1.95,1.21
218,Police Car,vehicle,HON,HYN,18,3.28,1.41,18,2.94,1.06,19,2.89,1.1,55,3.04,1.19,18,2.89,1.32,19,3.16,1.12,20,3.15,0.88,57,3.07,1.1,19,1.21,0.71,20,1.15,0.67,18,1,0,57,1.12,0.57,1,,,1,,,0,,,2,,
219,Pool Table,recreation,HON,LON,18,3.33,1.28,18,2.22,1.31,19,2,1.25,55,2.51,1.39,18,3.5,1.15,19,4.32,1.25,20,4.75,1.45,57,4.21,1.37,19,1.47,0.9,20,1.4,1.1,18,1.22,0.55,57,1.37,0.88,3,,,2,,,1,,,6,,
220,Popsicle,food,HYM,LYM,18,2.78,1.06,18,2.06,1,19,2.26,1.1,55,2.36,1.08,18,2.17,0.51,19,1.95,0.78,20,2.2,1.01,57,2.11,0.79,19,4.63,0.83,20,4.95,0.22,18,4.94,0.24,57,4.84,0.53,18,1.83,1.25,20,1.75,1.16,18,1.28,0.57,56,1.63,1.05
221,pot,household item,HOM,HYM,18,4.11,1.32,18,3.17,1.38,19,3.68,1.25,55,3.65,1.35,18,2.78,1.26,19,2.89,0.88,20,2.85,1.14,57,2.84,1.08,19,4.58,0.61,20,4.35,0.81,18,4.56,0.62,57,4.49,0.68,19,2.32,1.16,19,2.05,1.31,18,1.94,1.06,56,2.11,1.17
222,Potato,fruit & vegetable,HYM,HYM,18,3.94,1.3,18,3.78,0.94,19,3.63,1.16,55,3.78,1.13,18,2.56,0.86,19,2.47,0.61,20,2.55,1.1,57,2.53,0.87,19,4.89,0.32,20,4.95,0.22,18,4.83,0.38,57,4.89,0.31,19,2.47,1.17,20,2.55,1.43,18,2.17,1.25,57,2.4,1.28
223,present,holiday,LYM,LYM,18,2.39,1.24,18,2.28,1.13,19,2.42,0.96,55,2.36,1.09,18,2.33,0.77,19,1.63,0.68,20,1.75,0.72,57,1.89,0.77,19,4.21,1.08,20,4.2,0.95,18,4.56,0.62,57,4.32,0.91,17,4,1.22,17,3.06,1.56,18,3.39,0.98,52,3.48,1.31
224,Prison,miscellaneous,LON,LON,18,1.11,0.32,18,1.33,0.49,19,1.37,1.12,55,1.27,0.73,18,3.56,1.04,19,4.05,1.18,20,4,1.59,57,3.88,1.3,19,1.05,0.23,20,1,0,18,1,0,57,1.02,0.13,0,,,0,,,1,,,1,,
225,protractor,school supply,LOM,LOM,18,2.5,1.34,18,2.17,0.99,19,2.05,1.27,55,2.24,1.2,18,4.56,1.34,19,4.74,1.28,20,5.25,1.16,57,4.86,1.27,19,4.89,0.32,20,4.75,0.55,18,4.94,0.24,57,4.86,0.4,19,3.58,0.96,20,3.3,1.08,18,3.06,1.16,57,3.32,1.07
226,Purse,miscellaneous,HOM,HOM,18,3.89,1.53,18,3.89,1.49,19,4.16,1.21,55,3.98,1.39,18,2.89,1.02,19,2.63,0.76,20,2.65,0.81,57,2.72,0.86,19,4.42,1.02,20,4.45,1,18,4.61,0.5,57,4.49,0.87,18,2.72,1.07,20,2.75,1.45,18,2.72,1.36,56,2.73,1.29
227,Rabbit,animal/insect,LYN,LYN,18,2.22,1.11,18,1.78,1,19,1.63,1.07,55,1.87,1.07,18,1.78,0.65,19,2.11,0.74,20,2.1,0.85,57,2,0.76,19,3.11,1.2,20,3.05,1.43,18,3.78,1.06,57,3.3,1.27,13,2.23,1.09,13,2.15,1.28,15,3,1.25,41,2.49,1.25
228,Raccoon,animal/insect,LON,LON,18,1.72,1.07,18,1.44,0.7,19,1.37,0.6,55,1.51,0.81,18,3.11,1.32,19,2.84,0.6,20,3.05,1.05,57,3,1.02,19,2.05,0.97,20,1.85,0.93,18,2.11,1.02,57,2,0.96,7,,,7,,,6,,,20,,
229,raspberry,fruit & vegetable,LOM,LYM,18,2.5,1.29,18,2.61,0.92,19,2.89,1.29,55,2.67,1.17,18,2.83,1.1,19,2.42,0.96,20,2.75,1.07,57,2.67,1.04,19,4.84,0.5,20,4.8,0.7,18,4.94,0.24,57,4.86,0.52,19,1.21,0.92,19,1.26,0.65,18,1.22,0.55,56,1.23,0.71
230,Refrigerator,household item,HYN,HON,18,4.72,0.46,18,4.72,0.57,18,4.61,0.85,54,4.69,0.64,18,2.28,0.96,19,2.32,0.82,20,2.55,1.32,57,2.39,1.05,19,1.32,0.82,20,1.7,1.17,18,1,0,57,1.35,0.88,2,,,5,,,0,,,7,,
231,remoteControl,household item,HOM,HOM,18,4.28,1.32,18,3.89,1.18,19,4.42,1.02,55,4.2,1.18,18,2.72,0.83,19,3.26,0.99,20,2.85,1.18,57,2.95,1.03,19,4.95,0.23,20,4.9,0.31,18,4.94,0.24,57,4.93,0.26,19,3.79,1.62,20,3.4,1.73,18,3.78,1.7,57,3.65,1.66
232,Ring,clothing,HOM,HOM,18,3.22,1.59,18,3.28,1.32,19,3.63,1.57,55,3.38,1.48,17,2.71,1.21,19,2.58,0.84,20,2.85,1.23,56,2.71,1.09,19,4.89,0.46,20,4.8,0.7,18,4.94,0.24,57,4.88,0.5,19,2.53,1.12,19,2.32,1.34,18,2.5,1.34,56,2.45,1.25
233,Road,miscellaneous,HYN,HYN,18,4.56,0.98,18,4.72,0.46,19,4.84,0.5,55,4.71,0.69,18,2.28,0.96,19,2.11,0.88,20,2.3,1.03,57,2.23,0.95,19,1.11,0.46,20,1.2,0.89,18,1.11,0.47,57,1.14,0.64,2,,,1,,,1,,,4,,
234,RockingHorse,toy,LYN,LYN,18,1.72,1.27,18,1.17,0.38,19,1.16,0.37,55,1.35,0.82,18,2.5,1.38,19,1.79,0.79,20,2.1,1.37,57,2.12,1.23,19,2.63,0.83,20,2.6,1.23,18,2.61,0.85,57,2.61,0.98,12,,,11,,,11,,,34,,
235,ROLODEX,office supply,HOM,LOM,18,2.94,1.39,17,2.06,1.25,19,2.05,1.22,54,2.35,1.33,18,4.39,1.54,19,4.47,1.17,20,5,1.41,57,4.63,1.38,19,4.26,0.87,20,3.95,1.15,18,4.5,0.62,57,4.23,0.93,18,3.39,1.2,18,3.56,1.29,18,3.72,1.23,54,3.56,1.22
236,roof,household item,HYN,HYN,18,4.39,0.92,18,3.78,1.11,19,3.95,1.35,55,4.04,1.15,18,2.33,0.84,19,2.95,1.03,20,2.8,0.77,57,2.7,0.91,19,1.11,0.46,20,1.05,0.22,18,1.06,0.24,57,1.07,0.32,1,,,0,,,1,,,2,,
237,Rooster,animal/insect,LYN,LON,18,1.56,0.78,18,1.56,0.92,19,1.47,0.84,55,1.53,0.84,18,2.39,0.78,19,2.21,0.71,20,2.6,1.05,57,2.4,0.86,19,2.47,1.31,20,2,1.08,18,2.83,1.29,57,2.42,1.25,9,,,6,,,10,,,25,,
238,RouletteWheel,recreation,LON,LON,18,1.44,1.04,18,1.5,0.92,19,1.16,0.37,55,1.36,0.82,18,5.17,1.69,19,5.53,1.22,20,5.85,1.23,57,5.53,1.39,19,1.68,1,20,1.85,1.31,18,1.78,1.11,57,1.77,1.13,3,,,5,,,4,,,12,,
239,RoweBuilding,campus location,HON,HON,18,3.78,1.52,18,3.44,1.38,19,3.89,1.05,55,3.71,1.31,18,4.17,1.98,19,4.58,2.06,20,5.35,2.18,57,4.72,2.1,19,1,0,20,1,0,18,1,0,57,1,0,0,,,0,,,0,,,0,,
240,Ruler,school supply,HOM,HOM,18,3.61,1.2,18,3.44,1.2,19,2.89,1.1,55,3.31,1.18,18,3,0.84,19,3.05,0.62,20,3.2,1.06,57,3.09,0.85,19,4.84,0.37,20,4.9,0.31,18,4.94,0.24,57,4.89,0.31,19,2.84,1.12,20,2.9,1.29,18,2.61,0.92,57,2.79,1.11
241,Sailboat,vehicle,LYN,HYN,18,2.28,1.13,18,2.17,1.34,19,1.89,1.05,55,2.11,1.17,18,2.39,0.7,19,2.26,0.93,20,2.9,1.07,57,2.53,0.95,19,1.26,0.81,20,1.35,0.99,18,1,0,57,1.21,0.75,3,,,2,,,0,,,5,,
242,Salt Shaker,household item,HYM,HYM,18,4.11,1.28,18,3.78,1.31,19,4.42,0.77,55,4.11,1.15,18,2.33,0.59,19,2.68,0.82,20,2.75,1.29,57,2.6,0.96,19,4.89,0.32,20,4.9,0.31,18,4.94,0.24,57,4.91,0.29,19,2.63,1.26,20,2.05,0.94,18,2.44,1.2,57,2.37,1.14
243,sandbox,toy,LYN,LYN,18,1.39,0.5,18,1.5,0.79,19,1.32,0.67,55,1.4,0.66,18,2.33,1.19,19,1.84,0.76,20,1.7,0.8,57,1.95,0.95,19,1.53,0.9,19,1.32,0.95,18,1.39,0.61,56,1.41,0.83,3,,,3,,,2,,,8,,
244,Sandwich,food,HYM,HYM,18,4.11,0.96,18,4.28,0.83,19,4.53,0.7,55,4.31,0.84,18,2.22,0.73,19,2.42,0.96,20,2.25,1.02,57,2.3,0.91,19,4.79,0.42,20,4.65,0.59,18,4.67,0.59,57,4.7,0.53,19,2.11,1.33,20,1.55,0.83,18,1.56,0.92,57,1.74,1.06
245,Santa Claus,holiday,LYN,LYN,18,2.28,1.32,18,1.72,1.13,19,1.47,0.77,55,1.82,1.12,18,2,0.97,19,1.37,0.5,20,1.5,0.83,57,1.61,0.82,19,1.21,0.42,20,1.6,1.35,18,1.28,0.46,57,1.37,0.88,0,,,3,,,1,,,4,,
246,Saw,tools,LOM,LOM,18,2.44,0.98,18,1.56,0.7,19,1.32,0.48,55,1.76,0.88,18,3.33,1.08,19,3.42,1.22,20,3.65,0.75,57,3.47,1.02,19,4.42,0.96,20,4.25,1.25,18,4.33,1.03,57,4.33,1.07,18,3.78,1.17,18,2.72,1.56,17,2.41,0.87,53,2.98,1.35
247,scarf,clothing,HOM,HYM,18,4.11,0.9,17,4.06,1.2,19,3.95,1.31,54,4.04,1.13,18,2.78,1.11,19,2.89,0.81,20,2.9,1.17,57,2.86,1.03,19,4.89,0.32,20,4.75,0.55,18,4.78,0.55,57,4.81,0.48,19,2.79,1.03,20,2.6,1.27,18,2.61,1.29,57,2.67,1.19
248,Scissors,tools,HYM,HOM,18,3.56,1.15,18,3.5,1.29,19,3.84,1.26,55,3.64,1.22,18,2.28,0.67,19,2.42,0.69,20,2.3,0.8,57,2.33,0.72,19,5,0,20,4.9,0.31,18,5,0,57,4.96,0.19,19,3.47,1.26,20,3.05,1.28,18,3.06,0.94,57,3.19,1.17
249,Screw,tools,LOM,LOM,18,2.56,1.29,18,1.83,1.04,19,1.74,0.87,55,2.04,1.12,18,3.33,0.84,19,3.21,1.23,20,3.1,1.12,57,3.21,1.06,19,4.89,0.32,20,4.85,0.49,18,4.83,0.51,57,4.86,0.44,19,2.89,1.24,19,3.42,1.54,18,3.06,1.06,56,3.13,1.29
250,Screwdriver,tools,LOM,HOM,18,2.56,1.29,18,1.67,0.69,19,2,1.2,55,2.07,1.14,18,3.61,1.09,19,3.47,1.22,20,3.85,1.39,57,3.65,1.23,19,5,0,20,4.95,0.22,18,4.94,0.24,57,4.96,0.19,19,3.63,1.12,20,2.95,1.36,18,3.17,1.04,57,3.25,1.2
251,seagull,animal/insect,HON,HON,18,3.11,1.32,18,2.61,1.24,19,2.42,1.12,55,2.71,1.24,18,2.78,0.94,19,2.53,0.9,20,2.65,1.09,57,2.65,0.97,19,2.16,1.12,20,2.15,1.27,18,2.67,1.19,57,2.32,1.2,5,,,8,,,9,,,22,,
252,Seahorse,animal/insect,LON,LON,18,1.5,1.15,18,1,0,19,1.21,0.71,55,1.24,0.79,18,3.61,1.2,19,3.16,1.21,20,3.7,1.3,57,3.49,1.24,19,2.58,1.39,20,2.85,1.6,18,3.39,1.5,57,2.93,1.51,9,,,12,,,12,2.67,1.61,33,,
253,Seal,animal/insect,LON,LON,18,1.56,0.98,18,1.28,0.67,19,1.11,0.32,55,1.31,0.72,18,2.94,1.26,19,3,1.05,20,3.15,1.09,57,3.04,1.12,19,1.37,0.5,20,1.4,0.82,18,1.28,0.57,57,1.35,0.64,2,,,2,,,0,,,4,,
254,sewing machine,household item,LON,LON,17,1.82,1.13,18,1.78,1,19,1.63,0.76,54,1.74,0.96,18,3.72,1.23,19,3.63,1.3,20,3.85,1.04,57,3.74,1.17,19,3.05,1.08,20,3.05,1.23,18,3.28,0.67,57,3.12,1.02,14,4,1.11,13,3.46,1.81,18,4.28,0.83,45,3.96,1.28
255,Sheep,animal/insect,LYN,LYN,18,1.56,1.04,18,1.44,0.98,19,1.11,0.32,55,1.36,0.85,18,2.22,1.06,19,2.42,0.9,20,2.4,0.94,57,2.35,0.95,19,1.21,0.42,20,1.1,0.31,18,1.89,1.08,57,1.39,0.75,0,,,0,,,3,,,3,,
256,Shell,nature,LYM,LYM,18,2.22,1.22,18,1.61,1.2,19,1.42,0.77,55,1.75,1.11,18,2.61,1.09,19,2.26,0.56,20,2.9,1.52,57,2.6,1.15,19,4.42,1.07,20,4.55,1.1,18,4.89,0.32,57,4.61,0.92,18,2,1.46,18,2,1.03,18,2.06,1.39,54,2.02,1.28
257,SHOVEL,household item,LYM,LOM,18,2.44,1.25,18,1.67,0.77,19,1.89,0.88,55,2,1.02,18,2.5,0.62,19,3.05,1.13,19,3.05,1.13,56,2.88,1.01,19,4.32,0.89,19,4.32,1.06,18,4.22,1.06,56,4.29,0.99,18,3.56,0.98,18,3,1.33,17,2.88,0.99,53,3.15,1.13
258,Shower,household item,HON,HON,18,4.94,0.24,18,4.5,1.2,19,4.95,0.23,55,4.8,0.73,18,3,1.24,19,2.68,1.16,20,2.6,1.54,57,2.75,1.31,18,1.5,1.04,20,1.15,0.67,18,1.11,0.32,56,1.25,0.74,3,,,1,,,1,,,5,,
259,Sink,household item,HYN,HYN,18,4.89,0.32,18,4.94,0.24,19,5,0,55,4.95,0.23,18,2.11,1.02,19,2.32,0.67,20,2.1,0.85,57,2.18,0.85,19,1.32,0.82,20,1.6,1.19,18,1.39,1.04,57,1.44,1.02,1,,,7,,,2,,,10,,
260,sippyCup,baby stuff,LYM,LYM,18,1.39,0.78,18,1.17,0.51,19,1.11,0.32,55,1.22,0.57,18,1.44,0.51,19,1.53,0.96,20,1.45,0.83,57,1.47,0.78,19,4.89,0.32,20,4.8,0.41,18,4.94,0.24,57,4.88,0.33,19,1.68,1,20,1.7,1.03,18,1.5,0.86,57,1.63,0.96
261,Skirt,clothing,HYM,HYM,18,3.89,1.23,18,3.17,1.25,19,3.53,1.39,55,3.53,1.3,18,2.39,1.14,19,2.42,1.12,20,2.65,1.04,57,2.49,1.09,19,4.42,0.84,20,4.4,1.27,18,4.56,0.62,57,4.46,0.95,18,3.17,1.2,18,2.61,1.2,18,2.94,1.06,54,2.91,1.15
262,Sled,recreation,LYN,LON,18,1.78,1.17,18,1.56,0.62,19,1.42,0.84,55,1.58,0.9,18,2.39,0.92,19,2.37,0.96,20,2.3,1.34,57,2.35,1.08,19,3.26,1.15,20,3.35,1.39,18,3.11,1.02,57,3.25,1.18,13,3.08,1.32,16,2.94,1.53,14,3.14,1.23,43,3.05,1.34
263,Slide,recreation,LYN,LYN,18,1.94,1,18,1.61,0.85,19,1.63,0.83,55,1.73,0.89,16,1.88,0.72,19,1.79,0.79,20,2.05,1.19,55,1.91,0.93,19,1.26,0.73,20,1.15,0.37,18,1.22,0.43,57,1.21,0.53,1,,,0,,,1,,,2,,
264,SlotMachine,recreation,LON,LON,18,1.61,1.04,18,1.39,0.7,19,1.37,1.01,55,1.45,0.92,18,5.22,1.48,19,5.21,1.13,20,5.4,1.73,57,5.28,1.45,18,1.5,1.1,20,1.6,1.1,18,1.72,1.41,56,1.61,1.19,5,,,2,,,3,,,10,,
265,Snail,animal/insect,LYM,LON,18,1.67,0.84,18,1.17,0.38,19,1.42,0.69,55,1.42,0.69,18,2.56,1.15,19,2.63,0.6,20,2.8,0.95,57,2.67,0.91,19,3.63,1.34,20,3.6,1.79,18,4.61,0.7,57,3.93,1.43,15,1.8,0.94,13,1.77,1.48,18,2.33,1.33,46,2,1.26
266,Snake,animal/insect,LYN,LON,18,1.72,1.02,18,1.17,0.38,19,1.47,1.02,55,1.45,0.88,18,2.28,0.83,19,2.26,0.73,20,2.75,1.25,57,2.44,0.98,19,2.42,1.35,20,2.4,1.67,18,2.78,1.35,57,2.53,1.45,10,,,9,,,12,,,31,,
267,snowflake,holiday,HYN,LYM,18,2.94,1.39,18,3.5,1.04,19,3.42,1.39,55,3.29,1.29,18,2.61,0.85,19,2.26,0.81,20,2.55,1.5,57,2.47,1.1,19,3.53,1.58,20,3.2,1.74,18,3.83,1.54,57,3.51,1.62,16,1.94,1.29,12,2.33,1.5,15,2,1.51,43,2.07,1.4
268,Sock,clothing,HYM,HYM,18,4.67,0.84,18,4.83,0.38,19,4.84,0.69,55,4.78,0.66,18,2,1.08,19,1.74,0.87,20,1.6,0.75,57,1.77,0.91,19,4.79,0.54,20,4.8,0.52,18,4.94,0.24,57,4.84,0.45,19,3,1.37,19,3.11,1.52,18,2.94,0.94,56,3.02,1.29
269,spider,animal/insect,LON,LYN,18,1.56,0.7,18,1.28,0.75,19,1.47,0.7,55,1.44,0.71,18,3,1.14,19,2.95,0.97,20,2.85,1.23,57,2.93,1.1,19,3.26,1.28,20,3.45,1.76,18,4,1.24,57,3.56,1.46,15,1.93,0.88,13,2.31,1.6,16,2.88,1.59,44,2.39,1.42
270,SpiderWeb,nature,LYN,LYM,17,2.65,1.11,18,1.61,0.61,19,1.89,1.05,54,2.04,1.03,18,2.61,0.78,19,2.58,0.96,20,2.65,0.93,57,2.61,0.88,19,1.68,1.11,20,2.3,1.63,18,3.83,1.38,57,2.58,1.64,3,,,10,,,15,2.47,1.55,28,,
271,Stairs,household item,HYN,HYN,18,4.44,1.2,18,4.89,0.32,19,4.95,0.23,55,4.76,0.74,18,1.78,0.65,19,1.84,0.96,20,1.9,0.91,57,1.84,0.84,19,1.16,0.69,20,1.05,0.22,18,1,0,57,1.07,0.42,1,,,1,,,0,,,2,,
272,staple Gun,office supply,LOM,LOM,18,2.17,1.29,18,1.83,1.38,19,2.21,1.08,55,2.07,1.25,18,3.94,1.16,19,4.11,1.1,20,4.3,1.38,57,4.12,1.21,19,4.68,0.48,20,4.55,1,18,4.78,0.55,57,4.67,0.72,19,3.05,1.08,19,2.63,1.21,18,2.56,1.34,56,2.75,1.21
273,STAPLER,office supply,HOM,HOM,18,4,0.97,18,3.94,0.94,19,3.79,0.92,55,3.91,0.93,18,3.44,0.98,19,3.37,0.83,20,3.6,1.19,57,3.47,1,19,4.74,0.56,20,4.85,0.37,18,4.83,0.38,57,4.81,0.44,19,3.58,1.17,20,2.95,1.32,18,2.89,1.18,57,3.14,1.25
274,staple Remover,office supply,LOM,HOM,18,2.22,1.17,18,2.56,1.2,19,2.37,1.16,55,2.38,1.16,18,4.39,1.65,19,4.74,1.15,20,4.7,1.38,57,4.61,1.39,19,4.95,0.23,19,4.79,0.42,18,4.72,0.96,56,4.82,0.61,19,3.16,1.38,19,2.79,1.27,17,2.53,1.23,55,2.84,1.3
275,Statue,miscellaneous,LON,HON,18,1.61,0.92,18,1.72,1.13,18,1.17,0.38,54,1.5,0.88,17,4.24,1.56,19,4.95,1.68,19,4.42,1.35,55,4.55,1.54,19,1.21,0.71,20,1.2,0.89,18,1.11,0.32,57,1.18,0.68,3,,,2,,,0,,,5,,
276,stocking,holiday,LYM,LYM,18,2.06,1,18,1.72,1.18,19,1.42,0.61,55,1.73,0.97,18,2.39,1.04,19,2.11,0.66,20,1.8,0.77,57,2.09,0.85,19,4.53,0.77,20,4.3,1.08,18,4.67,0.49,57,4.49,0.83,19,2.63,1.54,19,2.53,1.22,18,2.89,1.41,56,2.68,1.38
277,Stool,miscellaneous,HON,HOM,18,3.72,1.32,18,2.89,1.08,18,3.5,1.1,54,3.37,1.2,18,2.72,1.07,19,2.32,0.89,20,2.55,1.1,57,2.53,1.02,18,3.39,1.09,20,3.2,1.01,18,3.83,0.86,56,3.46,1.01,15,3.13,1.36,15,2.8,1.42,18,2.39,1.14,48,2.75,1.31
278,Stove,household item,HYN,HYN,18,4.44,1.1,18,3.5,1.62,19,4.16,1.12,55,4.04,1.33,18,2,0.84,19,2.47,0.96,20,2.3,0.8,57,2.26,0.88,19,1.42,0.9,20,1.35,0.93,18,1.11,0.47,57,1.3,0.8,3,,,2,,,1,,,6,,
279,strawberry,fruit & vegetable,HYM,LYM,18,3.56,1.5,18,3.22,1.26,19,3.58,1.22,55,3.45,1.32,18,2,0.69,19,2.05,0.52,20,2,0.79,57,2.02,0.67,19,5,0,20,4.75,0.91,18,5,0,57,4.91,0.54,19,1.58,1.26,19,1.32,0.75,18,1.28,0.46,56,1.39,0.89
280,STROLLER,baby stuff,LYN,LYN,18,1.72,0.96,18,1.44,0.98,19,1.53,0.77,55,1.56,0.9,18,2.5,1.2,19,2.21,1.03,20,2.1,1.41,57,2.26,1.22,19,2.47,1.07,20,2.45,1.36,18,2.33,0.84,57,2.42,1.1,10,,,9,,,7,,,26,,
281,SUB,campus location,HON,HON,18,4.33,1.19,18,4.06,1.21,19,4.68,0.48,55,4.36,1.02,18,4,1.88,19,4.53,2.14,20,5.7,2.05,57,4.77,2.12,19,1,0,20,1,0,18,1,0,57,1,0,0,,,0,,,0,,,0,,
282,Suitcase,miscellaneous,HOM,HOM,18,2.78,1.31,18,3,1.33,19,2.21,1.03,55,2.65,1.25,18,3.11,0.9,19,3.37,0.9,20,3.4,1.23,57,3.3,1.02,19,4.21,0.79,20,4.5,0.89,18,4.17,0.79,57,4.3,0.82,18,1.94,1.11,19,2.63,1.42,18,2.28,1.07,55,2.29,1.23
283,Sweatshirt,clothing,HYM,HYM,18,4.5,1.15,18,4.78,0.55,19,4.84,0.5,55,4.71,0.79,18,2.28,1.18,19,2.32,0.82,20,2,0.65,57,2.19,0.9,19,4.47,0.7,20,4.4,0.94,18,4.83,0.38,57,4.56,0.73,19,2.84,1.26,19,3.21,1.13,18,2.94,1,56,3,1.13
284,swingSet,recreation,LYN,LYN,18,1.89,0.96,18,2,0.84,19,1.74,0.56,55,1.87,0.79,18,2,0.59,19,2,0.67,20,1.8,0.52,57,1.93,0.59,19,1.47,1.02,20,1.45,0.76,18,1.17,0.38,57,1.37,0.77,2,,,3,,,0,,,5,,
285,table,household item,HYN,HYN,18,4.67,0.59,18,4.44,0.92,19,4.79,0.54,55,4.64,0.7,18,2,0.97,19,2.16,0.96,20,2.2,1.01,57,2.12,0.96,19,2.21,0.98,20,2,1.08,18,2.33,0.91,57,2.18,0.98,6,,,4,,,9,,,19,,
286,tambourine,instrument,LOM,LOM,18,2,1.24,18,1.39,0.7,19,1.26,0.56,55,1.55,0.92,18,3.22,1.22,19,3.37,1.12,20,3.35,1.18,57,3.32,1.15,19,4.79,0.42,20,4.75,0.55,18,4.94,0.24,57,4.82,0.43,19,2.95,1.39,20,2.3,1.34,18,2.56,1.04,57,2.6,1.28
287,tape Measure,office supply,LOM,LOM,18,2.5,1.25,18,1.89,0.96,19,1.84,0.76,55,2.07,1.03,18,3.39,1.04,19,3.58,1.22,20,3.8,0.95,57,3.6,1.07,19,4.89,0.32,19,4.63,0.96,18,4.83,0.38,56,4.79,0.62,18,3.61,1.04,18,3.61,1.46,18,3.44,1.29,54,3.56,1.25
288,Telephone,household item,HYM,HYM,18,4.83,0.38,18,4.94,0.24,19,4.84,0.37,55,4.87,0.34,18,2.11,1.18,19,2.16,0.9,20,2.2,1.24,57,2.16,1.1,19,4.42,0.61,19,4.68,0.48,18,4.72,0.57,56,4.61,0.56,19,3.26,1.41,19,3.26,1.69,18,3.94,1.16,56,3.48,1.45
289,Television,household item,HYN,HYN,18,4.06,1.55,18,4.39,1.14,19,4.89,0.32,55,4.45,1.15,18,2.22,1.06,19,2,0.88,20,2.35,1.31,57,2.19,1.09,19,1.89,0.94,20,2.3,1.34,18,1.83,0.92,57,2.02,1.09,4,,,8,,,8,,,20,,
290,Thread,household item,LOM,LOM,18,2.28,1.36,18,1.78,1.11,19,1.68,0.82,55,1.91,1.13,18,3.06,0.94,19,3.21,1.08,20,3.35,1.04,57,3.21,1.01,19,4.95,0.23,20,4.8,0.41,18,4.89,0.32,57,4.88,0.33,19,3.84,1.07,19,3.32,1.38,18,3.89,1.08,56,3.68,1.19
291,Tie,clothing,LOM,HOM,18,2.72,1.41,18,2,1.08,19,1.74,0.87,55,2.15,1.19,18,3.06,0.94,19,2.68,0.95,20,3.25,1.12,57,3,1.02,19,4.53,0.7,20,4.85,0.37,18,4.72,0.46,57,4.7,0.53,18,3.72,1.18,20,3.75,1.29,18,3.89,1.02,56,3.79,1.16
292,Tiger,animal/insect,LYN,HON,18,1.28,0.67,18,1.28,0.46,19,1.11,0.32,55,1.22,0.5,18,2.06,0.8,19,2.26,0.65,20,2.5,0.95,57,2.28,0.82,19,1.11,0.32,20,1.15,0.67,18,1.22,0.73,57,1.16,0.59,0,,,1,,,2,,,3,,
293,Toaster,household item,HOM,LOM,18,4.39,1.04,18,4,1.19,19,4.16,1.21,55,4.18,1.14,18,2.83,0.86,19,2.89,0.88,20,2.7,0.92,57,2.81,0.88,19,3.79,0.92,20,3.65,1.14,18,3.94,0.73,57,3.79,0.94,16,3.5,1.1,18,3.72,1.18,17,3.29,0.99,51,3.51,1.08
