"All Data collected by Salmon, McMullen, & Filliter (2009)",,,,,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2
,,,,,T1 (FMA),T1 (FMA),T1 (FMA),T2 (AFM),T2 (AFM),T2 (AFM),T3 (MAF),T3 (MAF),T3 (MAF),All T,All T,All T,T1 (AFM),T1 (AFM),T1 (AFM),T2 (MAF),T2 (MAF),T2 (MAF),T3 (FMA),T3 (FMA),T3 (FMA),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T
Item#,Name,Category,Group Membership1,Expected Group2,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev
47,Camel,animal/insect,LON,LON,18,1.28,0.67,18,1.11,0.32,19,1.05,0.23,55,1.15,0.45,18,2.89,0.9,19,3,0.88,20,3.4,1.47,57,3.11,1.13,19,1.05,0.23,20,1.05,0.22,18,1,0,57,1.04,0.19,0,,,0,,,0,,,0,,
48,Camera,recreation,HOM,HOM,18,3.89,1.18,18,3.89,1.02,19,3.74,1.15,55,3.84,1.1,18,2.94,1,19,2.89,0.99,20,3.25,1.25,57,3.04,1.09,19,4.79,0.54,20,4.8,0.52,18,4.67,0.59,57,4.75,0.54,19,3.84,1.17,20,3.8,1.24,18,3.67,1.33,57,3.77,1.23
49,Candle,household item,HOM,LOM,18,3.17,1.69,18,2.72,1.6,19,2.58,1.26,55,2.82,1.52,18,3,0.97,19,3,0.94,20,2.95,0.94,57,2.98,0.94,19,4.58,0.69,19,4.53,1.12,18,4.67,0.49,56,4.59,0.8,19,2.53,1.26,18,2.33,1.33,18,2.89,1.18,55,2.58,1.26
50,candyCanes,"food, holiday",LYM,LYM,18,2.06,1.35,18,1.56,1.04,19,1.63,0.9,55,1.75,1.11,18,2.22,0.88,19,2.37,0.68,20,2.4,1.27,57,2.33,0.97,19,4.68,0.82,20,4.5,1.15,18,4.94,0.24,57,4.7,0.84,17,1.82,1.13,18,1.61,0.98,18,1.28,0.75,53,1.57,0.97
51,Cannon,miscellaneous,LON,LON,18,1.56,0.78,18,1.28,0.57,19,1.16,0.5,55,1.33,0.64,18,3.11,0.9,19,4.05,1.03,20,4.15,0.99,57,3.79,1.06,19,1.32,0.95,20,1.05,0.22,18,1.11,0.32,57,1.16,0.59,1,,,0,,,0,,,1,,
52,Cap,clothing,HYM,LOM,18,4.17,0.99,18,2.78,1.06,19,3.37,1.46,55,3.44,1.3,18,2.11,0.9,19,1.89,0.66,20,1.8,0.77,57,1.93,0.78,19,4.63,0.68,19,4.84,0.37,18,4.83,0.38,56,4.77,0.5,19,2.05,1.18,19,1.63,0.83,18,2.06,1.06,56,1.91,1.03
53,car,vehicle,HYN,HYN,18,4.56,0.86,18,4.33,1.08,19,4.42,0.96,55,4.44,0.96,18,1.83,1.25,19,1.89,1.05,20,2.6,1.54,57,2.12,1.32,19,1.16,0.5,20,1.25,0.91,18,1,0,57,1.14,0.61,0,,,1,,,0,,,1,,
54,carpet,household item,HYN,HYN,17,3.41,1.12,18,3.17,1.38,19,4.26,1.1,54,3.63,1.28,18,2.5,1.1,19,2.58,0.9,19,2.47,0.9,56,2.52,0.95,19,2.95,1.22,19,2.84,1.26,18,3.39,1.2,56,3.05,1.23,11,,,11,,,15,2.53,1.41,37,2.32,1.36
55,Carrot,fruit & vegetable,HYM,HYM,18,3.94,1.11,18,3.61,1.38,19,3.79,1.13,55,3.78,1.2,18,2.28,1.36,19,1.89,0.66,20,2.2,0.95,57,2.12,1.02,18,4.89,0.32,20,4.7,0.8,18,4.89,0.32,56,4.82,0.54,18,1.83,1.34,19,1.42,0.69,18,1.22,0.55,55,1.49,0.94
56,car Seat,baby stuff,LYN,LYN,18,1.33,0.59,17,1.18,0.39,19,1.32,0.58,54,1.28,0.53,18,2.17,0.62,19,2.05,1.22,20,2.3,1.56,57,2.18,1.2,19,3.05,0.97,20,3.2,1.28,18,3.5,0.99,57,3.25,1.09,15,2.6,1.06,14,2.93,1.38,16,3.06,1.53,45,2.87,1.32
