"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN","SE"
"1730","38: drie","24.1",1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,"16.42921812","0.230490238",1.33333333333333,0.0924500327042048
"1731","39: verdiepingen","24.1",1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,"16.65970836","0.452199895",1.33333333333333,0.0924500327042048
"1732","40: lager","24.1",1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,"17.11190825","0.404265018",1.33333333333333,0.0924500327042048
"1733","41: in","24.1",1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,2,1,1,"17.51617327","0.102074248",1.33333333333333,0.0924500327042048
"1734","42: het","24.1",1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,2,1,1,"17.61824752","0.081220369",1.33333333333333,0.0924500327042048
"1735","43: slot","24.1",1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,2,1,1,"17.69946789","0.372077098",1.33333333333333,0.0924500327042048
"1736","44: valt.","24.1",1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,2,1,1,"18.07154499","0.439202582",1.33333333333333,0.0924500327042048
"1738","46: oudevrouwenhanden","24.1",2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,"19.89851352","0.943912402",1.74074074074074,0.0859436075726402
"1739","47: graaien","24.1",2,2,2,1,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,"20.84242592","0.567445014",1.62962962962963,0.0947052429549553
"1740","48: boven","24.1",2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,"21.40987093","0.261754594",1.2962962962963,0.0895511888632576
"1741","49: het","24.1",2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,"21.67162553","0.153660159",1.2962962962963,0.0895511888632576
"1742","50: aanrecht.","24.1",2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,"21.82528569","0.599274618",1.2962962962963,0.0895511888632576
"1743","51: Het","24.1",1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"23.25732405","0.123569292",1.11111111111111,0.0616333551361366
"1744","52: lege","24.1",1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"23.38089335","0.296344591",1.11111111111111,0.0616333551361366
"1745","53: blik","24.1",1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"23.67723794","0.325979051",1.11111111111111,0.0616333551361366
"1746","54: valt","24.1",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"24.00321699","0.32158876",1.03703703703704,0.037037037037037
