"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","Onset","Duration"
"193","5: kon","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","44.98767062","0.149532567"
"194","6: ik","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","mismatch","mismatch"
"195","7: er","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","mismatch","mismatch"
"196","8: niet","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","45.35738106","0.224887561"
"197","9: onderuit.","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","45.58226862","0.47450098"
"199","11: was","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","46.87340542","0.147177723"
"200","12: druk","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","47.02058314","0.304952242"
"201","13: in","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","47.32553538","0.120097022"
"204","16: Zodra","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","48.38547092","0.363823332"
"205","17: meneer","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","48.74929425","0.254323106"
"206","18: Kuisters","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","49.06719814","0.485097776"
"208","20: binnen","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","49.75128019","0.197346115"
"209","21: zag","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","49.94862631","0.180145533"
"210","22: komen","5.1","1",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","50.18764293","0.374420128"
"211","23: duwde","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","2","1","1","50.84858607","0.290823181"
"212","24: hij","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","2","1","1","51.13940925","0.160129363"
"213","25: de","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","2","2","1","1","51.29953861","0.074177572"
"214","26: schuifdeur","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","2","2","1","1","51.37371618","0.587533471"
"215","27: tussen","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","2","2","1","1","51.97302387","0.267274745"
"216","28: winkel","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","2","2","1","1","52.24029862","0.328466523"
"217","29: en","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","2","1","1","1","52.56876514","0.113032491"
"218","30: huiskamer","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","2","1","1","1","52.68179763","0.609904485"
"219","31: een","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","1","1","1","53.29170212","0.097726008"
"220","32: eindje","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","2","1","1","53.38942812","0.340257819"
"221","33: open","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","2","1","1","53.72968594","0.368533019"
"222","34: en","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","1","1","1","54.43772572","0.090661477"
"223","35: zei","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","1","1","1","54.5283872","0.196629438"
"224","36: dat","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","1","1","1","54.72501664","0.17779069"
"226","38: maar","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","1","1","1","54.9769849","0.196629438"
"227","39: door","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","1","1","1","55.17361434","0.182500377"
"228","40: moest","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","1","1","1","55.35611472","0.244903731"
"229","41: lopen","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","1","1","1","55.60101845","0.375136804"
"231","43: het","5.1","1",NA,"2","1","1","1","1","1","1","2","1","1","1","1","1","1","56.09978454","0.121274444"
"232","44: zou","5.1","1",NA,"2","1","1","1","1","1","1","2","1","1","1","1","1","1","56.22105898","0.160129363"
"233","45: nog","5.1","1",NA,"2","1","1","1","1","1","1","2","1","1","1","1","1","1","56.38118835","0.154242254"
"234","46: wel","5.1","1",NA,"2","1","1","1","1","1","1","2","1","1","1","1","1","1","56.5354306","0.103613117"
"235","47: even","5.1","1",NA,"2","1","1","1","1","1","1","2","1","1","1","1","1","1","56.63904372","0.211935921"
"236","48: duren.","5.1","1",NA,"2","1","1","1","1","1","1","2","1","1","1","1","1","1","56.85097964","0.385733375"
"237","49: 'Tonia","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","2","58.2148092","0.42858153"
"238","50: is","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","2","58.64339073","0.137758349"
"239","51: thuis'.","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","2","mismatch","mismatch"
"240","52: Hij","5.1","2",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","59.93747962","0.129516396"
"241","53: gaf","5.1","2",NA,"1","1","1","1","1","1","2","1","1","1","1","1","1","1","60.06699602","0.240194044"
"244","56: zetje","5.1","2",NA,"1","1","1","1","1","1","2","1","1","1","1","2","1","1","60.54738411","0.322613569"
"246","58: mijn","5.1","2",NA,"1","1","1","1","1","1","2","1","1","1","1","2","1","1","mismatch","mismatch"
"247","59: schouder","5.1","2",NA,"1","1","1","1","1","1","2","1","1","1","1","2","1","1","61.28445014","0.524976535"
"248","60: en","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","62.10168321","0.125984131"
"249","61: deed","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","62.22766734","0.300242555"
"250","62: de","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","62.5279099","0.051806559"
"251","63: deur","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","62.57971646","0.207226234"
"252","64: achter","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","62.78694269","0.242548888"
"253","65: me","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","mismatch","mismatch"
"255","67: De","5.1","1",NA,"2","1","1","1","1","2","1","1","1","2","1","1","1","1","64.47913643","0.109500226"
"256","68: kamer","5.1","1",NA,"2","1","1","1","1","2","1","1","1","2","1","1","1","1","64.58863665","0.317903882"
"257","69: was","5.1","1",NA,"2","1","1","1","1","2","1","1","1","2","1","1","1","1","64.90654053","0.168371315"
"258","70: donker","5.1","1",NA,"2","1","1","1","1","2","1","1","1","2","1","2","1","1","65.07491185","0.485097776"
"259","71: en","5.1","1",NA,"2","1","1","1","1","2","1","1","1","2","1","2","1","1","65.56000963","0.15188741"
"260","72: klein.","5.1","1",NA,"2","1","1","1","1","2","1","1","1","2","1","2","1","1","65.7260261","0.387371767"
"261","73: Tonia","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","1","1","1","67.18567049","0.383839502"
"262","74: zat","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","1","1","1","67.56950999","0.166016472"
"263","75: aan","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","1","1","1","67.73552646","0.127161553"
"264","76: tafel","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","1","1","1","67.93451075","0.533372069"
"265","77: naar","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","1","1","1","68.6127057","0.138167637"
"266","78: haar","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","1","1","1","68.75087333","0.134226084"
"267","79: handen","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","1","1","1","68.88509942","0.221355296"
"268","80: te","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","1","1","1","69.10645471","0.146000301"
"269","81: kijken","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","1","1","1","69.25245501","0.388549189"
"270","82: die","5.1","1",NA,"2","2","1","2","2","1","2","1","1","2","1","1","1","2","69.6410042","0.097726008"
"271","83: voor","5.1","1",NA,"2","2","1","2","2","1","2","1","1","2","1","1","1","2","69.73873021","0.246081153"
"272","84: haar","5.1","1",NA,"2","2","1","2","2","1","2","1","1","2","1","1","1","2","69.98481136","0.15188741"
"273","85: op","5.1","2",NA,"2","2","1","2","2","1","2","1","1","2","1","1","2","2","70.13669877","0.116684184"
"274","86: het","5.1","2",NA,"2","2","1","2","2","1","2","1","1","2","2","1","2","2","70.25338296","0.090661477"
"275","87: pluche","5.1","2",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","70.43470591","0.329814604"
"276","88: tafelkleed","5.1","1",NA,"2","2","1","2","2","2","2","2","2","2","2","2","2","2","70.81868192","0.585178627"
"277","89: lagen;","5.1","1",NA,"2","2","1","2","2","1","2","2","2","2","1","1","2","2","71.40386055","0.455662231"
"278","90: een","5.1","1",NA,"2","2","1","2","2","1","2","2","2","2","2","2","2","2","72.87661039","0.162484206"
"279","91: bleek","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","2","2","2","73.03909459","0.343807161"
"280","92: kind","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","2","2","2","73.38290175","0.324968413"
"281","93: met","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","2","2","2","73.70787017","0.168371315"
"282","94: lichte","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","2","2","2","73.87624148","0.523952695"
