,word,qnLabel,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,Onset,Duration,MN,SE
1829,137: hiernaast,24.1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54.33899988,0.473053774,1.074074074,0.051361129
1830,138: op,24.1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54.81205365,0.058171346,1.074074074,0.051361129
1831,139: de,24.1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54.870225,0.133903852,1.074074074,0.051361129
1832,140: muur.,24.1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.00412885,0.433541162,1.074074074,0.051361129
1833,141: Het,24.1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,56.0671983,0.127318417,1.222222222,0.081533265
1834,142: krassen,24.1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,56.19451672,0.379760106,1.222222222,0.081533265
1835,143: is,24.1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,56.57427683,0.113049974,1.222222222,0.081533265
1836,144: voor,24.1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,56.6873268,0.116342691,1.222222222,0.081533265
1837,145: mij,24.1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,56.80366949,0.205246069,1.222222222,0.081533265
1838,146: bestemd.,24.1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,57.00891556,0.525737257,1.259259259,0.085943608
1839,147: De,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,58.52774905,0.041707757,1.148148148,0.069669625
