"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"67","67: legde","3.1",1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,"29.22257605","0.294149446",1.33333333333333
"68","68: ze","3.1",1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,"29.51672549","0.093293668",1.33333333333333
"69","69: behoedzaam","3.1",2,1,2,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,1,2,2,"29.61001916","0.554274143",1.59259259259259
"70","70: op","3.1",1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,1,1,2,1,2,1,1,2,1,"30.16429331","0.136098998",1.37037037037037
"71","71: elkaar.","3.1",1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,1,1,2,1,2,1,1,2,1,"30.3003923","0.419272718",1.37037037037037
"72","72: Zijn","3.1",1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,"31.60720976","0.130611135",1.33333333333333
"73","73: handen","3.1",1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,"31.73782089","0.287564011",1.33333333333333
"74","74: waren","3.1",1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,"32.0253849","0.249148971",1.37037037037037
"75","75: paarsachtig","3.1",2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,"32.38319356","0.67281198",1.74074074074074
"76","76: rood","3.1",2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,"33.05600554","0.447983163",1.7037037037037
"77","77: en","3.1",1,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,1,"33.97155461","0.107279487",1.55555555555556
"78","78: er","3.1",1,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,1,"34.0788341","0.083415515",1.55555555555556
"79","79: kleefden","3.1",1,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,2,1,"34.19956708","0.349028074",1.59259259259259
"80","80: schubben","3.1",1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,"34.54859515","0.357808655",1.66666666666667
"81","81: aan.","3.1",1,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,1,1,2,1,"34.90640381","0.306581285",1.51851851851852
"82","82: Iedere","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"36.07712227","0.296344591",1
"83","83: keer","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"36.41736976","0.176709182",1
"84","84: vroeg","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"36.59407894","0.194270343",1
"85","85: hij","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"36.78834929","0.189880053",1
"86","86: me","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"36.97822934","0.171221319",1
"87","87: of","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"37.3780062","0.109757256",1
"88","88: ik","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"37.48776346","0.08561066",1
"89","89: met","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"37.57337412","0.104269393",1
"90","90: Tonia","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"37.76544931","0.341345066",1
"91","91: wilde","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"38.10679438","0.210733932",1
"92","92: spelen.","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"38.31752831","0.523542112",1
"93","93: Ik","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"39.51779434","0.102074248",1
"94","94: zei","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"39.61986859","0.185489763",1
"95","95: dan","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"39.80535835","0.13719657",1
"96","96: dat","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"39.94255492","0.106464538",1
"97","97: ik","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"40.04901946","0.093293668",1
"98","98: niet","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"40.14231312","0.200855779",1
"99","99: kon","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"40.39585239","0.305125172",1
"100","100: omdat","3.1",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"41.02146875","0.160690801",1.07407407407407
"101","101: ze","3.1",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"41.18215955","0.156952876",1.07407407407407
"102","102: thuis","3.1",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"41.38960076","0.204148496",1.07407407407407
"103","103: op","3.1",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"41.59374926","0.080122797",1.07407407407407
"104","104: de","3.1",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"41.67387205","0.099879103",1.07407407407407
"105","105: zalm","3.1",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"41.77375116","0.293051874",1.07407407407407
"106","106: zaten","3.1",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"42.06680303","0.280880484",1.07407407407407
"107","107: te","3.1",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"42.38609855","0.081220369",1.07407407407407
"108","108: wachten.","3.1",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"42.46731892","0.388540687",1.07407407407407
"189","1: Maar","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"44.11374271","0.139391715",1.03846153846154
"190","2: op","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"44.25313442","0.104269393",1.03846153846154
"191","3: een","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"44.35740382","0.111952401",1.03846153846154
"192","4: dag","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"44.46935622","0.187684908",1.03846153846154
"193","5: kon","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"44.69984645","0.125123272",1.03846153846154
"194","6: ik","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"44.82496973","0.095488813",1.03846153846154
"195","7: er","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"44.92045854","0.09000095",1.03846153846154
"196","8: niet","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"45.01045949","0.156952876",1.03846153846154
"197","9: onderuit.","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"45.16741237","0.484029499",1.03846153846154
"198","10: Het","5.1",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"46.07280089","0.08561066",1
"199","11: was","5.1",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"46.15841155","0.161343166",1
"200","12: druk","5.1",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"46.31975471","0.235978101",1
"201","13: in","5.1",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"46.55573281","0.092196095",1
"202","14: de","5.1",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"46.64792891","0.060366491",1
"203","15: winkel.","5.1",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"46.7082954","0.391833404",1
"204","16: Zodra","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"47.56549957","0.385323886",1.07692307692308
"205","17: meneer","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"47.95082346","0.249148971",1.07692307692308
"206","18: Kuisters","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"48.27350979","0.503785805",1.07692307692308
"207","19: me","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"48.77729559","0.08561066",1.07692307692308
"208","20: binnen","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"48.86290625","0.268253137",1.07692307692308
"209","21: zag","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"49.13115939","0.205246069",1.07692307692308
"210","22: komen","5.1",1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"49.36384477","0.287564011",1.07692307692308
"211","23: duwde","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,"49.65140878","0.378662533",1.19230769230769
