"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"107","107: te","3.1",2,2,1,2,4,2,1,1,3,3,2,3,2,3,1,2,3,4,5,5,3,2,1,2,2,6,2,"42.52517025","0.049451715",2.55555555555556
"108","108: wachten.","3.1",2,2,1,2,4,2,1,1,3,3,2,3,2,3,1,1,3,4,5,5,3,2,1,2,2,6,2,"42.57462197","0.396483753",2.51851851851852
"189","1: Maar","5.1",2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,2,4,2,5,4,1,2,1,2,2,7,3,"44.2788627","0.310395684",2.66666666666667
"190","2: op","5.1",2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,2,4,2,5,4,1,2,1,2,2,7,3,"44.58925839","0.048717961",2.66666666666667
"191","3: een","5.1",2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,2,4,2,5,4,1,2,1,2,2,7,3,"44.63797635","0.090661477",2.66666666666667
"192","4: dag","5.1",2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,4,4,2,5,4,1,2,1,2,2,7,3,"44.72863782","0.259032793",2.74074074074074
"193","5: kon","5.1",2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,3,4,2,5,4,1,2,1,2,2,7,3,"44.98767062","0.149532567",2.7037037037037
"194","6: ik","5.1",2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,4,4,2,5,4,1,2,1,2,2,7,4,"mismatch","mismatch",2.77777777777778
"195","7: er","5.1",2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,3,4,2,5,4,1,2,1,2,2,7,4,"mismatch","mismatch",2.74074074074074
"196","8: niet","5.1",2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,3,4,2,5,4,4,2,1,2,2,7,4,"45.35738106","0.224887561",2.85185185185185
"197","9: onderuit.","5.1",2,4,2,3,2,2,1,1,3,6,3,3,3,2,1,1,4,2,5,4,4,2,2,2,2,7,4,"45.58226862","0.47450098",2.85185185185185
"199","11: was","5.1",1,3,2,1,2,2,1,1,1,5,2,3,2,1,1,3,2,1,1,4,3,2,1,2,2,3,4,"46.87340542","0.147177723",2.07407407407407
"200","12: druk","5.1",1,5,2,1,2,2,1,1,1,5,2,3,2,1,1,1,2,1,1,4,3,2,1,2,2,3,4,"47.02058314","0.304952242",2.07407407407407
"201","13: in","5.1",1,3,2,1,2,2,1,1,1,5,2,3,2,1,1,2,2,1,1,4,3,2,1,2,2,3,4,"47.32553538","0.120097022",2.03703703703704
"204","16: Zodra","5.1",1,4,2,2,2,2,1,1,1,4,3,3,1,2,1,2,3,2,1,5,3,2,1,2,2,7,5,"48.38547092","0.363823332",2.40740740740741
"205","17: meneer","5.1",1,5,2,2,2,2,1,1,1,4,3,3,1,2,1,2,3,2,1,5,4,2,1,2,2,7,5,"48.74929425","0.254323106",2.48148148148148
"206","18: Kuisters","5.1",1,5,2,2,2,2,1,1,1,4,3,3,1,2,1,2,3,2,1,5,4,2,1,2,2,7,5,"49.06719814","0.485097776",2.48148148148148
"208","20: binnen","5.1",1,1,2,2,5,2,1,1,1,4,3,3,1,2,1,2,3,2,1,5,3,2,1,2,2,7,5,"49.75128019","0.197346115",2.40740740740741
"209","21: zag","5.1",1,1,2,2,5,2,1,1,1,4,3,3,1,2,1,3,3,2,1,5,3,2,1,2,2,7,5,"49.94862631","0.180145533",2.44444444444444
"210","22: komen","5.1",1,1,2,2,5,2,1,1,1,4,3,3,1,2,1,2,3,2,1,5,3,2,1,2,2,7,5,"50.18764293","0.374420128",2.40740740740741
"211","23: duwde","5.1",2,5,2,2,5,2,1,1,1,4,3,3,4,3,1,4,3,2,1,5,3,2,1,3,2,7,5,"50.84858607","0.290823181",2.85185185185185
"212","24: hij","5.1",2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,3,3,2,1,5,3,2,1,3,2,7,5,"51.13940925","0.160129363",2.55555555555556
"213","25: de","5.1",2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,2,3,2,1,5,3,2,1,3,2,7,5,"51.29953861","0.074177572",2.51851851851852
"214","26: schuifdeur","5.1",2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,3,3,2,1,5,3,2,1,3,2,7,5,"51.37371618","0.587533471",2.55555555555556
"215","27: tussen","5.1",2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,3,3,2,1,5,3,2,1,3,2,7,5,"51.97302387","0.267274745",2.55555555555556
"216","28: winkel","5.1",2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,3,3,2,1,5,3,2,1,3,2,7,5,"52.24029862","0.328466523",2.55555555555556
"217","29: en","5.1",2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,1,3,2,1,5,3,2,1,3,2,7,5,"52.56876514","0.113032491",2.48148148148148
"218","30: huiskamer","5.1",2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,6,3,2,1,5,3,2,1,3,2,7,5,"52.68179763","0.609904485",2.66666666666667
"219","31: een","5.1",2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,3,3,2,1,5,3,2,1,3,2,7,5,"53.29170212","0.097726008",2.55555555555556
"220","32: eindje","5.1",2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,3,3,2,1,5,3,2,1,3,2,7,5,"53.38942812","0.340257819",2.55555555555556
"221","33: open","5.1",2,2,2,2,5,2,1,1,1,4,3,3,1,2,1,5,3,2,1,5,3,2,1,3,2,7,5,"53.72968594","0.368533019",2.62962962962963
"222","34: en","5.1",2,2,2,3,5,2,1,1,1,4,3,3,1,2,1,1,3,3,1,5,3,2,1,3,2,7,5,"54.43772572","0.090661477",2.55555555555556
"223","35: zei","5.1",2,4,2,3,5,2,1,1,1,4,3,3,4,2,1,2,3,3,1,5,3,2,1,3,2,7,5,"54.5283872","0.196629438",2.77777777777778
"224","36: dat","5.1",2,4,2,3,5,2,1,1,1,4,3,3,4,2,1,2,3,3,1,5,3,2,1,3,2,7,5,"54.72501664","0.17779069",2.77777777777778
"226","38: maar","5.1",2,4,2,3,5,2,1,1,1,4,3,3,4,2,1,2,3,3,1,5,3,2,1,3,2,7,5,"54.9769849","0.196629438",2.77777777777778
"227","39: door","5.1",2,4,2,3,5,2,1,1,1,4,3,3,4,2,1,3,3,3,1,5,3,2,1,3,2,7,5,"55.17361434","0.182500377",2.81481481481481
"228","40: moest","5.1",2,4,2,3,5,2,1,1,1,4,3,3,4,2,1,2,3,3,1,5,3,2,1,3,2,7,5,"55.35611472","0.244903731",2.77777777777778
"229","41: lopen","5.1",2,4,2,3,5,2,1,1,1,4,3,3,4,2,1,5,3,3,1,5,3,2,1,3,2,7,5,"55.60101845","0.375136804",2.88888888888889
"231","43: het","5.1",2,5,2,2,5,2,1,1,1,4,3,3,3,2,1,2,3,3,1,5,3,2,1,3,2,7,3,"56.09978454","0.121274444",2.66666666666667
"232","44: zou","5.1",2,5,2,2,5,2,1,1,1,4,3,3,3,2,1,2,3,3,1,5,3,2,1,3,2,7,3,"56.22105898","0.160129363",2.66666666666667
"233","45: nog","5.1",2,5,2,2,5,2,1,1,1,4,3,3,3,2,1,2,3,3,1,5,3,2,1,3,2,7,3,"56.38118835","0.154242254",2.66666666666667
"234","46: wel","5.1",2,5,2,2,5,2,1,1,1,4,3,3,3,2,1,2,3,3,1,5,3,2,1,3,2,7,3,"56.5354306","0.103613117",2.66666666666667
"235","47: even","5.1",2,5,2,2,5,2,1,1,1,4,3,3,3,2,1,2,3,3,1,5,3,2,1,3,2,7,3,"56.63904372","0.211935921",2.66666666666667
"236","48: duren.","5.1",2,5,2,2,5,2,1,1,1,4,3,3,3,2,1,1,3,3,1,5,3,2,1,3,2,7,3,"56.85097964","0.385733375",2.62962962962963
"237","49: 'Tonia","5.1",3,6,3,5,4,5,1,1,2,1,2,3,4,3,1,3,4,3,5,6,5,2,2,2,2,7,3,"58.2148092","0.42858153",3.25925925925926
