"","X","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN","SE","marker_event","onset_event","duration_event","MN_event","SE_event"
"80",82,"82: Iedere",3.1,2,7,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,2,2,1,2,2,5,3,36.12069613,0.310839351,2.851851852,0.332064696,,,,,
"81",83,"83: keer",3.1,2,7,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,2,2,1,2,2,5,3,36.48216462,0.256677949,2.851851852,0.332064696,,,,,
"82",84,"84: vroeg",3.1,2,7,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,2,2,1,2,2,5,3,36.73884256,0.222532717,2.851851852,0.332064696,,,,,
"83",85,"85: hij",3.1,2,7,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,2,2,1,2,2,5,3,36.96137528,0.134226084,2.851851852,0.332064696,,,,,
"84",87,"87: of",3.1,2,4,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,2,2,1,2,2,5,3,37.40290845,0.116564757,2.740740741,0.295225987,,,,,
"85",89,"89: met",3.1,2,4,1,4,4,2,1,1,1,3,3,3,1,2,1,2,6,5,5,5,2,2,1,2,2,5,3,37.61291589,0.226064983,2.703703704,0.296296296,,,,,
"86",90,"90: Tonia",3.1,2,7,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,5,2,3,2,2,5,3,37.83898088,0.350871692,3.037037037,0.331110028,,,,,
"87",91,"91: wilde",3.1,2,4,1,4,4,2,1,1,1,3,3,3,1,2,1,3,6,5,5,5,5,2,3,2,2,5,3,38.18985257,0.2107585,2.925925926,0.296830004,,,,,
"88",92,"92: spelen.",3.1,2,4,1,4,4,2,1,1,1,3,3,3,1,2,1,4,6,5,5,5,5,2,3,2,2,5,3,38.40061107,0.495080245,2.962962963,0.299484274,1,36.12069613,2.323616278,2.864197531,
"89",94,"94: zei",3.1,2,4,1,2,4,2,1,1,3,3,2,3,2,3,1,3,5,4,5,5,4,2,1,2,2,6,2,40.16153894,0.145095888,2.777777778,0.273904622,,,,,
"90",95,"95: dan",3.1,2,4,1,2,4,2,1,1,3,3,2,3,2,3,1,2,5,4,5,5,4,2,1,2,2,6,2,40.30663482,0.134226084,2.740740741,0.275249654,,,,,
"91",96,"96: dat",3.1,2,4,1,2,4,2,1,1,3,3,2,3,2,3,1,2,5,4,5,5,4,2,1,2,2,6,2,40.44086091,0.159607592,2.740740741,0.275249654,,,,,
"92",98,"98: niet",3.1,2,7,1,2,4,2,1,1,3,3,2,3,2,3,1,1,5,4,5,5,4,2,2,2,2,6,2,40.65757346,0.18316719,2.851851852,0.314437515,,,,,
"93",99,"99: kon",3.1,2,7,1,2,4,2,1,1,3,3,2,3,2,3,1,2,5,4,5,5,4,2,2,2,2,6,2,40.87253103,0.248435997,2.888888889,0.308166776,,,,,
"94",100,"100: omdat",3.1,2,4,1,2,4,2,1,1,3,3,2,3,2,3,1,3,3,4,5,5,3,2,1,2,2,6,2,41.12096703,0.231952092,2.666666667,0.255982549,,,,,
"95",101,"101: ze",3.1,2,4,1,2,4,2,1,1,3,3,2,3,2,3,1,3,3,4,5,5,3,2,1,2,2,6,2,41.35291912,0.080064681,2.666666667,0.255982549,,,,,
"96",102,"102: thuis",3.1,2,6,1,2,4,2,1,1,3,3,2,3,2,3,1,6,3,4,5,5,3,2,1,2,2,6,2,41.48596779,0.253145684,2.851851852,0.305242436,,,,,
"97",103,"103: op",3.1,2,2,1,2,4,2,1,1,3,3,2,3,2,3,1,2,3,4,5,5,3,2,1,2,2,6,2,41.73911347,0.084313398,2.555555556,0.252245377,,,,,
"98",104,"104: de",3.1,2,2,1,2,4,2,1,1,3,3,2,3,2,3,1,2,3,4,5,5,3,2,1,2,2,6,2,41.82342687,0.091838899,2.555555556,0.252245377,,,,,
"99",105,"105: zalm",3.1,2,2,1,2,4,2,1,1,3,3,2,3,2,3,1,1,3,4,5,5,3,2,1,2,2,6,2,41.91526577,0.306129664,2.518518519,0.258035369,,,,,
"100",106,"106: zaten",3.1,2,2,1,2,4,2,1,1,3,3,2,3,2,3,1,2,3,4,5,5,3,2,1,2,2,6,2,42.22139543,0.303774821,2.555555556,0.252245377,,,,,
