"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","Onset","Duration"
"227","39: door","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","55.17361434","0.182500377"
"228","40: moest","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","55.35611472","0.244903731"
"229","41: lopen","5.1","1",NA,"1","1","1","2","1","1","2","2","1","1","1","55.60101845","0.375136804"
"230","42: want","5.1","1",NA,"2","1","1","1","1","1","1","2","1","1","1","55.97615525","0.123629287"
"231","43: het","5.1","1",NA,"2","1","1","1","1","1","1","2","1","1","1","56.09978454","0.121274444"
"232","44: zou","5.1","1",NA,"2","1","1","1","1","1","1","2","1","1","1","56.22105898","0.160129363"
"233","45: nog","5.1","1",NA,"2","1","1","1","1","1","1","2","1","1","1","56.38118835","0.154242254"
"234","46: wel","5.1","1",NA,"2","1","1","1","1","1","1","2","1","1","1","56.5354306","0.103613117"
"235","47: even","5.1","1",NA,"2","1","1","1","1","1","1","2","1","1","1","56.63904372","0.211935921"
"236","48: duren.","5.1","1",NA,"2","1","1","1","1","1","1","2","1","1","1","56.85097964","0.385733375"
"237","49: 'Tonia","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","58.2148092","0.42858153"
"238","50: is","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","58.64339073","0.137758349"
"240","52: Hij","5.1","2",NA,"1","1","1","1","1","1","2","1","1","1","1","59.93747962","0.129516396"
"241","53: gaf","5.1","2",NA,"1","1","1","1","1","1","2","1","1","1","1","60.06699602","0.240194044"
"243","55: een","5.1","2",NA,"1","1","1","1","1","1","2","1","1","1","1","60.44377099","0.103613117"
"244","56: zetje","5.1","2",NA,"1","1","1","1","1","1","2","1","1","1","1","60.54738411","0.322613569"
"245","57: tegen","5.1","2",NA,"1","1","1","1","1","1","2","1","1","1","1","60.86999768","0.257855371"
"247","59: schouder","5.1","2",NA,"1","1","1","1","1","1","2","1","1","1","1","61.28445014","0.524976535"
"248","60: en","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","62.10168321","0.125984131"
"249","61: deed","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","62.22766734","0.300242555"
"250","62: de","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","62.5279099","0.051806559"
"251","63: deur","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","62.57971646","0.207226234"
"252","64: achter","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","62.78694269","0.242548888"
"254","66: dicht.","5.1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","63.22258875","0.366178175"
"255","67: De","5.1","1",NA,"2","1","1","1","1","2","1","1","1","2","1","64.47913643","0.109500226"
"256","68: kamer","5.1","1",NA,"2","1","1","1","1","2","1","1","1","2","1","64.58863665","0.317903882"
"257","69: was","5.1","1",NA,"2","1","1","1","1","2","1","1","1","2","1","64.90654053","0.168371315"
"258","70: donker","5.1","1",NA,"2","1","1","1","1","2","1","1","1","2","1","65.07491185","0.485097776"
"259","71: en","5.1","1",NA,"2","1","1","1","1","2","1","1","1","2","1","65.56000963","0.15188741"
"260","72: klein.","5.1","1",NA,"2","1","1","1","1","2","1","1","1","2","1","65.7260261","0.387371767"
"261","73: Tonia","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","67.18567049","0.383839502"
"262","74: zat","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","67.56950999","0.166016472"
"263","75: aan","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","67.73552646","0.127161553"
"264","76: tafel","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","67.93451075","0.533372069"
"265","77: naar","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","68.6127057","0.138167637"
