"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"1769","77: de","24.1",3,3,4,6,4,6,1,2,3,3,6,6,4,4,1,4,6,6,2,4,3,5,1,3,4,6,3,"32.65512103","0.065854354",3.81481481481481
"1770","78: klap","24.1",3,3,4,6,4,6,1,2,3,3,6,6,4,4,1,4,6,6,2,4,3,5,1,3,4,6,3,"32.72097538","0.244758681",3.81481481481481
"1771","79: hebben","24.1",3,3,4,6,4,6,1,2,3,3,6,6,4,4,1,4,6,6,2,4,3,5,1,3,4,6,3,"32.96573406","0.175144003",3.81481481481481
"1772","80: gehoord.","24.1",3,3,4,6,4,6,1,2,3,3,6,6,4,4,1,4,6,6,2,4,3,5,1,3,4,6,3,"33.14087807","0.478541637",3.81481481481481
"1773","81: Het","24.1",4,6,3,7,5,6,1,2,5,6,7,6,5,5,4,5,6,5,4,5,4,5,1,3,4,7,3,"34.39446851","0.081220369",4.59259259259259
"1774","82: verschrikkelijke","24.1",4,6,5,7,5,6,1,2,5,6,7,6,5,5,4,5,6,5,4,5,4,5,1,3,4,7,5,"34.47568888","0.646470238",4.74074074074074
"1775","83: krassen","24.1",4,6,5,7,5,6,1,2,5,6,7,6,5,5,4,5,6,5,4,5,4,5,1,3,4,7,5,"35.12215912","0.40280913",4.74074074074074
"1776","84: begint","24.1",4,3,3,5,5,6,1,2,5,6,7,6,5,5,4,5,6,5,4,5,4,5,1,3,4,7,3,"35.52496825","0.331466913",4.40740740740741
"1777","85: weer.","24.1",4,3,3,5,5,6,1,2,5,6,7,6,5,5,4,5,6,5,4,5,4,5,1,3,4,7,3,"35.85643516","0.317002737",4.40740740740741
"1778","86: O","24.1",4,5,3,7,5,6,2,2,5,6,7,6,5,6,4,5,6,4,4,5,4,5,1,3,4,6,5,"36.1734379","0.138294143",4.62962962962963
"1779","87: God","24.1",4,5,3,7,5,6,2,2,5,6,7,6,5,6,4,5,6,4,4,5,4,5,1,3,4,6,5,"36.31173204","0.394028549",4.62962962962963
"1780","88: houdt","24.1",4,5,3,7,5,6,1,2,5,6,7,6,5,5,4,5,6,4,4,5,4,5,1,3,4,6,5,"36.70576059","0.223904802",4.55555555555556
"1781","89: het","24.1",4,5,3,7,5,6,1,2,5,6,7,6,5,5,4,5,6,4,4,5,4,5,1,3,4,6,5,"36.9296654","0.095488813",4.55555555555556
"1782","90: dan","24.1",4,5,3,7,5,6,1,2,5,6,7,6,5,5,4,5,6,4,4,5,4,5,1,3,4,6,5,"37.02515421","0.126220844",4.55555555555556
"1783","91: nooit","24.1",4,5,3,7,5,6,1,2,5,6,7,6,5,5,4,5,6,4,4,5,4,5,1,3,4,6,5,"37.15137505","0.290856729",4.55555555555556
"1784","92: op?","24.1",4,5,3,7,5,6,1,2,5,6,7,6,5,5,4,5,6,4,4,5,4,5,1,3,4,6,5,"37.44223178","0.262950032",4.55555555555556
"1785","93: Ik","24.1",1,5,3,4,4,3,1,2,2,5,4,6,2,3,1,3,4,4,4,5,3,3,2,3,4,7,3,"39.21038825","0.095488813",3.37037037037037
"1786","94: trek","24.1",1,5,3,4,4,3,1,2,2,5,4,6,2,3,1,3,4,4,4,5,3,3,2,3,4,7,3,"39.3563654","0.232685383",3.37037037037037
"1787","95: mijn","24.1",1,5,3,4,4,3,1,2,2,5,4,6,2,3,1,3,4,4,4,5,3,3,2,3,4,7,3,"39.58905079","0.196465488",3.37037037037037
"1788","96: rok","24.1",1,5,3,4,4,3,1,2,2,5,4,6,2,3,1,3,4,4,4,5,3,3,2,3,4,7,3,"39.78551628","0.255734407",3.37037037037037
"1789","97: op","24.1",1,5,3,4,4,3,1,2,2,5,4,6,2,3,1,3,4,4,4,5,3,3,2,3,4,7,3,"40.04125068","0.235978101",3.37037037037037
"1790","98: zak","24.1",5,4,3,4,4,3,1,2,2,5,6,6,2,3,3,3,4,4,4,5,3,3,2,3,4,7,4,"40.86651618","0.245856254",3.66666666666667
"1791","99: op","24.1",5,4,3,4,4,3,1,2,2,5,6,6,2,3,3,3,4,4,4,5,3,3,2,3,4,7,4,"41.11237244","0.09878153",3.66666666666667
"1792","100: handen","24.1",5,4,3,4,4,3,1,2,2,5,6,6,2,3,3,3,4,4,4,5,3,3,2,3,4,7,4,"41.21115397","0.376467388",3.66666666666667
"1793","101: en","24.1",5,4,3,4,4,3,1,2,2,5,6,6,2,3,3,3,4,4,4,5,3,3,2,3,4,7,4,"41.58762135","0.103171821",3.66666666666667
"1795","103: en","24.1",5,2,3,5,4,3,1,2,2,5,6,6,2,3,4,3,4,4,4,5,5,3,2,3,4,7,3,"42.10896832","0.120732982",3.7037037037037
"1796","104: sleur","24.1",5,5,3,5,4,3,3,2,2,5,6,6,2,3,4,3,4,5,4,5,5,3,2,3,4,7,5,"42.2297013","0.409198607",4
"1797","105: mijn","24.1",5,5,3,5,4,3,3,2,2,5,6,6,2,3,4,3,4,5,4,5,5,3,2,3,4,7,5,"42.63889991","0.196465488",4
"1798","106: oude","24.1",5,5,3,5,4,3,3,2,2,5,6,6,2,3,4,3,4,5,4,5,3,3,2,3,4,7,5,"42.8353654","0.285368866",3.92592592592593
"1799","107: lijf","24.1",5,5,3,5,4,3,3,2,2,5,6,6,2,3,4,3,4,5,4,5,3,3,2,3,4,7,5,"43.12073426","0.334759631",3.92592592592593
"1800","108: naar","24.1",5,3,3,5,4,3,3,2,2,5,6,6,2,3,4,3,4,5,4,5,3,3,2,3,4,7,5,"43.45549389","0.138294143",3.85185185185185
"1801","109: de","24.1",5,3,3,5,4,3,1,2,2,5,6,6,2,3,4,3,4,5,4,5,3,3,2,3,4,7,4,"43.59378804","0.060366491",3.74074074074074
"1802","110: woonkamer.","24.1",5,3,3,5,4,3,1,2,2,5,6,6,2,3,4,3,4,5,4,5,3,3,2,3,4,7,4,"43.65415453","0.640699526",3.74074074074074
"1803","111: Daar","24.1",3,2,3,5,4,3,1,2,2,3,4,6,1,4,3,2,4,4,2,6,3,5,2,4,4,7,5,"45.60167151","0.143782005",3.48148148148148
"1804","112: komt","24.1",3,2,3,5,4,3,1,2,2,3,4,6,1,4,3,2,4,4,2,6,3,5,2,4,4,7,5,"45.74545351","0.208538787",3.48148148148148
"1805","113: het","24.1",3,2,3,5,4,3,1,2,2,3,4,6,1,4,3,2,4,4,2,6,3,5,2,4,4,7,5,"45.9539923","0.106464538",3.48148148148148
"1806","114: geluid","24.1",3,2,3,5,4,3,1,2,2,3,4,6,1,4,3,2,4,4,2,6,3,5,2,4,4,7,5,"46.06045684","0.304027599",3.48148148148148
"1807","115: vandaan.","24.1",3,2,3,5,4,3,1,2,2,3,4,6,1,4,3,2,4,4,2,6,3,5,2,4,4,7,5,"46.36448444","0.482931927",3.48148148148148
"1808","116: Daar","24.1",3,2,3,6,4,3,1,2,2,3,5,6,1,4,1,3,4,5,2,6,3,5,2,4,4,7,5,"47.26449394","0.136816079",3.55555555555556
"1809","117: moet","24.1",3,2,3,6,4,3,1,2,2,3,5,6,1,4,1,3,4,5,2,6,3,5,2,4,4,7,5,"47.40131002","0.145977151",3.55555555555556
"1810","118: ik","24.1",3,2,3,6,4,3,1,2,2,3,5,6,1,4,1,3,4,5,2,6,3,5,2,4,4,7,5,"47.54728717","0.103171821",3.55555555555556
"1811","119: naartoe.","24.1",3,2,3,6,4,3,1,2,2,3,5,6,1,4,1,3,4,5,2,6,3,5,2,4,4,7,5,"47.65045899","0.394028549",3.55555555555556
"1812","120: Vandaag","24.1",4,6,5,7,5,3,1,2,4,7,6,6,3,4,3,6,5,5,4,6,4,5,2,4,2,7,3,"49.05615584","0.335857204",4.40740740740741
"1813","121: laat","24.1",4,6,5,7,5,3,1,2,4,7,6,6,3,4,3,6,5,5,4,6,4,5,2,4,2,7,4,"49.39201304","0.177806755",4.44444444444444
"1814","122: ik","24.1",4,6,5,7,5,3,1,2,4,7,6,6,3,4,3,6,5,5,4,6,4,5,2,4,2,7,4,"49.5698198","0.084513087",4.44444444444444
"1815","123: me","24.1",4,6,5,7,5,3,1,2,4,7,6,6,3,4,3,6,5,5,4,6,4,5,2,4,2,7,4,"49.65433289","0.09439124",4.44444444444444
"1816","124: niet","24.1",4,6,5,7,5,3,1,2,4,7,6,6,3,4,3,6,5,5,4,6,4,5,2,4,2,7,5,"49.74872413","0.209636359",4.48148148148148
"1817","125: meer","24.1",4,6,5,7,5,3,1,2,4,7,6,6,3,4,3,6,5,5,4,6,4,5,2,4,2,7,5,"49.95836049","0.1800019",4.48148148148148
"1818","126: door","24.1",4,6,5,7,5,3,1,2,4,7,6,6,3,4,4,6,5,5,4,6,4,5,2,4,2,7,5,"50.13836239","0.093293668",4.51851851851852
"1820","128: angst","24.1",4,6,5,7,5,3,1,2,4,7,6,6,3,4,4,6,5,5,4,6,4,5,2,4,2,7,5,"50.35019389","0.255734407",4.51851851851852
"1821","129: verlammen.","24.1",4,6,5,7,5,3,1,2,4,7,6,6,3,4,4,6,5,5,4,6,4,5,2,4,2,7,5,"50.6059283","0.450548049",4.51851851851852
"1822","130: Al","24.1",4,5,2,5,4,3,1,2,4,6,5,6,2,4,4,5,6,4,4,4,4,2,2,4,2,7,3,"52.57978702","0.172318892",3.85185185185185
"1823","131: enkele","24.1",4,4,2,5,4,3,1,2,4,6,5,6,2,4,4,5,6,4,4,4,4,2,2,4,2,7,4,"52.75210591","0.342442639",3.85185185185185
"1824","132: dagen","24.1",4,4,2,5,4,3,1,2,4,6,5,6,2,4,4,5,6,4,4,4,4,2,2,4,2,7,4,"53.09454855","0.397321267",3.85185185185185
"1825","133: krast","24.1",4,6,2,5,4,3,1,2,4,6,5,6,2,5,4,5,6,4,4,4,4,2,2,4,2,7,5,"53.49186982","0.40719942",4
"1826","134: de","24.1",4,4,2,5,4,3,1,2,4,6,5,6,2,5,4,5,6,4,4,4,4,2,2,4,2,7,3,"53.89906924","0.04719562",3.85185185185185
"1827","135: man","24.1",4,4,2,5,4,3,1,2,4,6,5,6,2,5,4,5,6,4,4,4,4,2,2,4,2,7,3,"53.94626486","0.250246544",3.85185185185185
